Date,y
2001-02-16,67.0
2001-04-26,37.0
2001-06-13,67.0
2001-07-05,62.0
2001-11-03,61.0
2002-02-01,74.0
2002-04-18,101.0
2002-07-22,53.0
2002-10-22,187.0
2003-01-17,516.0
2003-04-22,546.0
2003-07-21,620.0
2003-10-17,677.0
2004-01-23,717.0
2004-04-20,755.0
2004-07-07,750.0
2004-10-12,691.0
2005-01-17,679.0
2005-04-14,879.0
2005-07-18,811.0
2005-10-07,858.0
2005-11-30,844.0
2005-12-12,917.0
2006-01-09,991.0
2006-05-05,964.0
2006-07-19,1000.0
2006-11-17,1044.0
2007-01-16,1066.0
2007-05-22,1083.0
2007-07-11,1133.0
2007-10-17,1162.0
2008-01-31,1112.0
2008-04-14,1158.0
2008-07-23,1286.0
2008-10-09,1151.0
2009-01-20,1167.0
2009-04-07,1194.0
2009-07-15,1173.0
2009-10-12,1287.0
2010-01-12,1060.0
2010-04-21,1084.0
2010-07-12,1288.0
2010-10-11,1537.0
2011-01-17,1626.0
2011-04-25,1243.0
2011-09-25,935.0
2011-10-11,1037.0
2012-02-09,893.0
2012-04-19,997.0
2012-07-27,783.0
2012-10-03,900.0
2013-01-15,650.0
2013-06-04,720.0
2013-07-19,790.0
2013-10-04,610.0
2014-03-06,700.0
2014-04-04,460.0
2014-07-22,450.0
2014-10-17,450.0
2015-01-23,430.0
2015-05-22,410.0
2015-07-23,350.0
2015-10-30,410.0
2016-02-23,350.0
2016-05-09,320.0
2016-09-21,270.0
2016-11-15,300.0
2017-02-07,240.0
2017-06-16,310.0
2017-08-30,190.0
2017-10-31,200.0
2018-03-16,180.0
2018-06-12,200.0
2018-08-28,190.0
2018-11-21,200.0
2019-03-19,170.0
2019-05-08,180.0
2019-08-23,140.0
2019-10-17,180.0
2020-03-03,170.0
2020-05-12,130.0
2020-08-11,100.0
2020-11-10,110.0
2001-06-13,1.0
2001-07-05,2.0
2001-11-03,1.0
2002-04-18,2.0
2002-10-17,0.5
2003-04-22,0.5
2003-10-28,0.5
2004-04-20,0.5
2004-10-12,0.5
2005-04-13,0.5
2005-10-07,0.5
2005-11-21,0.5
2005-12-08,0.5
2005-12-21,0.5
2006-01-06,0.5
2006-05-05,0.5
2006-11-17,0.5
2007-05-22,0.5
2007-10-23,0.5
2008-04-14,0.5
2008-10-09,0.5
2009-04-07,0.5
2009-10-12,0.5
2010-04-21,0.5
2010-10-11,0.5
2011-04-25,0.5
2011-10-11,0.5
2012-07-27,0.5
2013-07-19,0.5
2014-07-21,18.0
2014-08-12,16.0
2015-07-23,13.0
2016-09-21,3.0
2017-08-30,0.5
2018-08-28,2.1
2019-08-23,3.2
2020-08-11,3.7
2001-08-14,4.0
2001-08-21,2.0
2001-11-03,0.5
2002-01-17,0.5
2002-04-23,4.0
2002-07-22,2.0
2002-10-17,0.5
2003-01-17,0.5
2003-04-21,0.5
2003-07-21,0.5
2003-10-16,0.5
2004-01-21,0.5
2004-04-21,0.5
2004-10-14,0.5
2005-04-15,0.5
2005-10-31,0.5
2005-11-21,0.5
2005-12-05,0.5
2005-12-22,0.5
2006-01-05,0.5
2006-05-09,0.5
2006-10-26,0.5
2007-04-17,0.5
2007-10-26,0.5
2008-08-07,0.5
2009-07-22,0.5
2010-07-16,0.5
2011-09-21,0.5
2012-07-30,0.5
2013-07-18,0.5
2014-07-18,0.5
2015-07-31,0.5
2016-09-07,0.5
2017-08-16,0.5
2018-09-20,0.5
2019-08-23,0.5
2020-07-28,0.5
