Date,y
1993-12-15,700.0
1993-12-16,1300.0
1997-10-21,1140.0
1997-10-24,1090.0
1997-10-31,1070.0
1997-11-05,1510.0
1997-11-10,970.0
1997-11-11,1380.0
1997-11-12,1290.0
1997-11-17,1350.0
1997-11-19,1350.0
1997-11-24,1170.0
1997-12-01,1180.0
1997-12-12,1140.0
1997-12-15,1240.0
1997-12-17,1190.0
1997-12-22,1250.0
1997-12-29,1250.0
1998-01-12,1210.0
1998-01-19,1300.0
1998-01-26,1100.0
1998-02-02,1000.0
1998-02-09,1050.0
1998-02-16,1470.0
1998-02-23,1270.0
1998-02-27,760.0
1998-03-02,1320.0
1998-03-09,1060.0
1998-03-16,1240.0
1998-03-23,700.0
1998-03-26,910.0
1998-03-30,1180.0
1998-04-06,1180.0
1998-04-14,1150.0
1998-04-20,1070.0
1998-04-22,1130.0
1998-04-27,1250.0
1998-05-04,1150.0
1998-05-11,870.0
1998-05-21,1180.0
1998-05-26,1130.0
1998-06-01,1140.0
1998-06-08,962.0
1998-06-15,1660.0
1998-06-19,1320.0
1998-06-22,1760.0
1998-06-29,1490.0
1998-07-06,1360.0
1998-07-13,1400.0
1998-07-20,1360.0
1998-07-21,1310.0
1998-07-27,1250.0
1998-08-03,1370.0
1998-08-10,1240.0
1998-08-17,1290.0
1998-08-24,1290.0
1998-08-25,1250.0
1998-08-31,1520.0
1998-09-01,1220.0
1998-09-08,1350.0
1998-09-14,1270.0
1998-09-21,1240.0
1998-09-29,1230.0
1998-10-05,1390.0
1998-10-12,1270.0
1998-10-19,1530.0
1998-10-26,1200.0
1998-11-02,1240.0
1998-11-09,1610.0
1998-11-16,1180.0
1998-11-23,1080.0
1998-11-30,1370.0
1998-12-07,1100.0
1998-12-14,1050.0
1998-12-21,1060.0
1998-12-28,1250.0
1999-01-04,1070.0
1999-01-12,1030.0
1999-01-18,1010.0
1999-01-25,1010.0
1999-02-01,990.0
1999-02-08,1010.0
1999-02-15,990.0
1999-02-22,950.0
1999-03-01,910.0
1999-03-08,980.0
1999-03-15,980.0
1999-03-22,882.0
1999-03-29,960.0
1999-04-05,927.0
1999-04-12,920.0
1999-04-19,934.0
1999-04-26,912.0
1999-05-03,885.0
1999-05-10,947.0
1999-06-01,926.0
1999-06-07,902.0
1999-06-14,890.0
1999-06-21,850.0
1999-06-28,830.0
1999-07-06,844.0
1999-07-12,770.0
1999-07-19,1150.0
1999-07-26,774.0
1999-08-02,852.0
1999-08-09,870.0
1999-08-16,940.0
1999-08-23,880.0
1999-08-30,860.0
1999-09-07,840.0
1999-09-13,850.0
1999-09-20,840.0
1999-09-27,560.0
1999-10-04,544.0
1999-10-11,662.0
1999-10-18,696.0
1999-10-25,660.0
1999-11-01,668.0
1999-11-08,667.0
1999-11-30,320.0
1999-12-06,641.0
1999-12-13,700.0
1999-12-20,789.0
1999-12-27,760.0
2000-01-03,540.0
2000-01-10,600.0
2000-01-17,650.0
2000-01-24,560.0
2000-01-31,610.0
2000-02-07,620.0
2000-02-14,550.0
2000-02-21,530.0
2000-02-28,547.0
2000-03-06,580.0
2000-03-13,530.0
2000-03-20,550.0
2000-03-27,540.0
2000-04-03,530.0
2000-04-10,460.0
2000-04-17,550.0
2000-04-24,520.0
2000-05-01,500.0
2000-05-08,510.0
2000-05-15,500.0
2000-05-22,540.0
2000-05-28,530.0
2000-06-05,495.0
2000-06-12,540.0
2000-06-19,510.0
2000-06-26,470.0
2000-07-03,770.0
2000-07-10,850.0
2000-07-17,800.0
2000-07-24,560.0
2000-08-01,580.0
2000-08-07,630.0
2000-08-14,610.0
2000-08-21,490.0
2000-08-28,570.0
2000-09-05,530.0
2000-09-11,580.0
2000-09-18,550.0
2000-09-25,540.0
2000-10-02,550.0
2000-10-09,570.0
2000-10-16,570.0
2000-10-23,550.0
2000-10-30,530.0
2000-11-13,521.0
2000-11-27,409.0
2000-12-11,352.0
2000-12-18,472.0
2000-12-26,412.0
2001-01-02,539.0
2001-01-08,518.0
2001-01-15,392.0
2001-01-22,305.0
2001-02-02,434.0
2001-02-05,696.0
2001-02-12,580.0
2001-02-20,614.0
2001-02-26,630.0
2001-03-05,570.0
2001-03-09,828.0
2001-03-16,721.0
2001-03-23,469.0
2001-03-30,434.0
2001-04-06,516.0
2001-04-13,526.0
2001-04-20,455.0
2001-04-27,567.0
2001-05-04,416.0
2001-05-11,418.0
2001-05-18,461.0
2001-05-25,421.0
2001-06-01,445.0
2001-06-08,489.0
2001-06-15,518.0
2001-06-22,511.0
2001-06-29,497.0
2001-07-06,584.0
2001-07-13,608.0
2001-07-20,574.0
2001-07-27,500.0
2001-08-03,582.0
2001-08-10,635.0
2001-08-17,480.0
2001-08-24,500.0
2001-08-31,565.0
2001-09-07,453.0
2001-09-14,541.0
2001-09-21,439.0
2001-09-27,518.0
2001-10-05,447.0
2001-10-12,473.0
2001-10-19,412.0
2001-10-26,434.0
2001-11-02,440.0
2001-11-09,479.0
2001-11-16,423.0
2001-11-30,431.0
2001-12-07,456.0
2001-12-14,413.0
2001-12-21,378.0
2002-01-04,450.0
2002-01-11,433.0
2002-01-18,439.0
2002-01-25,439.0
2002-02-01,400.0
2002-02-08,429.0
2002-02-15,416.0
2002-02-22,428.0
2002-03-01,382.0
2002-03-08,413.0
2002-03-15,548.0
2002-03-22,386.0
2002-03-29,418.0
2002-04-05,390.0
2002-04-12,467.0
2002-04-19,432.0
2002-04-26,483.0
2002-05-03,383.0
2002-05-10,444.0
2002-05-17,435.0
2002-05-24,420.0
2002-05-31,393.0
2002-06-07,393.0
2002-06-21,421.0
2002-06-28,418.0
2002-07-05,347.0
2002-07-12,322.0
2002-07-19,400.0
2002-07-26,402.0
2002-08-02,299.0
2002-08-09,348.0
2002-08-16,374.0
2002-08-23,306.0
2002-08-30,322.0
2002-09-06,435.0
2002-09-13,383.0
2002-09-20,419.0
2002-09-27,320.0
2002-10-04,398.0
2002-10-25,388.0
2002-11-01,426.0
2002-11-08,406.0
2002-11-15,322.0
2002-11-22,310.0
2002-11-29,312.0
2002-12-06,307.0
2002-12-16,293.0
2002-12-20,152.0
2003-01-03,303.0
2003-01-10,278.0
2003-01-17,312.0
2003-01-24,344.0
2003-01-31,337.0
2003-02-07,338.0
2003-02-14,334.0
2003-02-21,327.0
2003-02-28,290.0
2003-03-07,350.0
2003-03-14,270.0
2003-03-21,268.0
2003-03-28,274.0
2003-04-04,276.0
2003-04-11,293.0
2003-04-18,291.0
2003-04-25,282.0
2003-05-02,256.0
2003-05-09,254.0
2003-05-16,278.0
2003-05-23,273.0
2003-05-30,280.0
2003-06-06,279.0
2003-06-13,272.0
2003-06-20,281.0
2003-07-07,270.0
2003-08-04,320.0
2003-09-02,238.0
2003-10-06,276.0
2003-11-03,273.0
2003-12-01,252.0
2004-01-05,257.0
2004-02-02,230.0
2004-03-01,243.0
2004-04-05,218.0
2004-05-03,190.0
2004-06-07,210.0
2004-07-05,180.0
2004-08-02,200.0
2004-09-06,180.0
2004-10-06,175.0
2004-11-01,190.0
2004-12-06,180.0
2005-01-03,166.0
