Date,y
2006-04-07,16.0
2006-08-03,17.0
2006-10-24,18.0
2007-01-19,2.0
2007-05-17,10.0
2007-07-18,18.0
2007-11-14,19.0
2008-03-25,18.0
2008-04-11,17.0
2008-07-21,20.0
2008-11-05,18.0
2009-02-02,18.0
2009-04-09,17.0
2009-07-20,18.0
2009-10-19,21.0
2010-01-26,16.0
2010-05-17,16.0
2010-07-23,20.0
2010-10-20,18.0
2011-01-25,20.0
2011-04-26,13.0
2011-09-23,15.0
2011-11-02,15.0
2012-02-02,12.0
2012-06-05,16.0
2012-08-03,14.0
2012-10-09,16.0
2013-02-26,15.0
2013-03-29,12.0
2013-04-29,12.0
2013-07-08,16.0
2013-11-08,7.0
2014-01-15,11.0
2014-04-16,12.0
2014-07-11,12.0
2014-10-08,11.0
2015-01-12,11.0
2015-04-14,11.0
2015-07-02,10.0
2015-08-05,11.0
2015-10-29,11.0
2016-02-03,10.0
2016-05-03,10.0
2016-09-12,9.0
2016-11-02,9.2
2017-01-04,9.4
2017-05-19,9.4
2017-07-24,8.7
2017-11-20,8.4
2018-01-22,7.8
2018-05-02,8.0
2018-08-09,8.3
2018-12-03,9.0
2019-03-14,8.3
2019-05-02,7.8
2019-07-18,7.8
2019-10-04,9.0
2020-01-10,8.0
2020-04-08,6.2
2020-07-09,6.0
2020-12-04,6.0
2007-05-10,0.5
2007-07-16,0.5
2007-11-14,0.5
2008-02-05,0.5
2008-04-11,0.5
2008-07-22,0.5
2008-10-16,0.5
2009-01-30,0.5
2009-04-20,0.5
2009-07-16,0.5
2009-10-19,0.5
2010-01-15,0.5
2010-04-19,0.5
2010-07-19,0.5
2010-11-03,0.5
2011-01-25,0.5
2011-04-28,0.5
2011-09-23,0.5
2011-10-28,0.5
2012-01-23,0.5
2012-05-15,0.5
2012-07-20,0.5
2012-10-12,0.5
2013-01-11,0.5
2013-05-17,0.5
2013-07-08,0.5
2013-11-08,0.5
2014-01-13,0.5
2014-04-22,0.5
2014-07-30,0.5
2014-10-07,0.5
2015-01-12,0.5
2015-04-03,0.5
2015-07-02,0.5
2015-10-06,0.5
2016-01-07,0.5
2016-05-03,0.5
2016-08-26,0.5
2016-11-03,0.5
2017-01-04,0.5
2017-05-17,0.5
2017-07-24,0.5
2017-10-18,1.0
2018-01-24,1.2
2018-05-01,1.0
2018-08-08,0.5
2018-12-04,0.5
2019-03-13,0.5
2019-05-01,0.5
2019-07-18,0.5
2019-10-04,0.5
2020-01-10,1.0
2020-04-08,0.5
2020-07-09,1.0
2020-11-04,0.5
2007-05-10,6.0
2007-07-16,6.0
2007-11-14,6.0
2008-02-05,5.0
2008-04-11,5.0
2008-07-22,6.0
2008-10-16,5.0
2009-01-30,4.0
2009-04-20,5.0
2009-07-16,4.0
2009-10-19,5.0
2010-01-15,4.0
2010-04-19,4.0
2010-07-19,4.0
2010-11-03,4.0
2011-01-25,6.0
2011-04-28,4.0
2011-09-23,5.0
2011-10-28,4.0
2012-01-23,5.0
2012-05-15,5.0
2012-07-20,6.0
2012-10-12,5.0
2013-01-11,5.0
2013-02-12,11.0
2013-03-29,7.0
2013-04-12,8.0
2013-05-17,6.0
2013-06-17,7.0
2013-07-08,8.0
2013-08-07,8.0
2013-09-04,9.0
2013-10-08,7.7
2013-12-03,9.0
2014-01-13,7.0
2014-02-13,7.0
2014-03-18,7.0
2014-04-22,7.0
2014-05-05,8.0
2014-06-16,8.0
2014-07-30,8.0
2014-08-07,7.0
2014-09-03,10.0
2014-10-07,8.0
2014-11-04,9.0
2014-12-02,9.0
2015-01-12,7.0
2015-02-09,8.0
2015-03-04,8.0
2015-04-03,9.0
2015-05-05,8.0
2015-05-20,9.0
2015-06-02,8.0
2015-07-02,8.0
2015-08-05,9.0
2015-09-09,8.0
2015-10-06,9.0
2015-11-06,9.0
2015-12-03,9.0
2016-01-07,10.0
2016-02-04,8.0
2016-03-07,8.0
2016-04-05,8.9
2016-05-03,8.3
2016-06-03,7.2
2016-07-29,5.1
2016-08-25,9.4
2016-09-19,10.0
2016-10-18,9.8
2016-11-03,9.0
2016-12-01,9.8
2017-01-04,9.4
2017-02-08,8.5
2017-03-16,8.6
2017-04-10,9.2
2017-05-23,9.0
2017-06-14,9.4
2017-07-24,9.6
2017-08-02,9.1
2017-09-07,9.6
2017-10-03,9.4
2017-11-13,10.0
2017-12-19,9.9
2018-01-17,9.6
2018-02-07,8.6
2018-03-20,9.0
2018-04-03,9.6
2018-05-10,11.0
2018-06-06,9.3
2018-07-11,9.3
2018-08-08,10.0
2018-09-05,9.7
2018-10-03,11.0
2018-11-05,9.4
2018-12-04,9.4
2019-01-16,9.7
2019-02-04,9.6
2019-03-13,9.8
2019-04-03,9.7
2019-05-01,10.0
2019-06-05,9.4
2019-07-18,9.7
2019-08-06,10.0
2019-09-05,10.0
2019-10-04,10.0
2019-11-04,9.9
2019-12-05,11.0
2020-01-10,9.0
2020-02-06,9.0
2020-03-10,9.0
2020-04-08,8.4
2020-05-04,9.1
2020-06-01,9.4
2020-07-09,9.0
2020-08-05,8.9
2020-09-02,11.0
2020-10-02,8.9
2020-11-04,8.5
2020-12-04,14.0
2007-05-10,0.5
2007-07-16,0.5
2007-11-14,0.5
2008-02-05,0.5
2008-04-11,0.5
2008-07-22,0.5
2008-10-16,0.5
2009-01-30,0.5
2009-04-20,0.5
2009-07-16,0.5
2009-10-19,0.5
2010-01-15,0.5
2010-04-19,0.5
2010-07-19,0.5
2010-11-03,0.5
2011-01-25,0.5
2011-04-28,0.5
2011-09-23,0.5
2011-10-28,0.5
2012-01-23,0.5
2012-05-15,0.5
2012-07-20,0.5
2012-10-12,0.5
2013-01-11,0.5
2013-05-17,0.5
