ds,y
1986-01-01,600.689039910452
1986-02-01,600.689039910452
1986-03-01,600.689039910452
1986-04-01,600.689039910452
1986-05-01,600.689039910452
1986-06-01,600.689039910452
1986-07-01,600.689039910452
1986-08-01,600.689039910452
1986-09-01,600.689039910452
1986-10-01,600.689039910452
1986-11-01,600.689039910452
1986-12-01,600.689039910452
1987-01-01,600.689039910452
1987-02-01,600.689039910452
1987-03-01,600.689039910452
1987-04-01,600.689039910452
1987-05-01,600.689039910452
1987-06-01,600.689039910452
1987-07-01,600.689039910452
1987-08-01,600.689039910452
1987-09-01,600.689039910452
1987-10-01,600.689039910452
1987-11-01,600.689039910452
1987-12-01,600.689039910452
1988-01-01,600.689039910452
1988-02-01,600.689039910452
1988-03-01,600.689039910452
1988-04-01,600.689039910452
1988-05-01,600.689039910452
1988-06-01,600.689039910452
1988-07-01,600.689039910452
1988-08-01,600.689039910452
1988-09-01,600.689039910452
1988-10-01,600.689039910452
1988-11-01,600.689039910452
1988-12-01,600.689039910452
1989-01-01,600.689039910452
1989-02-01,600.689039910452
1989-03-01,600.689039910452
1989-04-01,600.689039910452
1989-05-01,600.689039910452
1989-06-01,600.689039910452
1989-07-01,600.689039910452
1989-08-01,600.689039910452
1989-09-01,600.689039910452
1989-10-01,600.689039910452
1989-11-01,600.689039910452
1989-12-01,600.689039910452
1990-01-01,600.689039910452
1990-02-01,600.689039910452
1990-03-01,600.689039910452
1990-04-01,600.689039910452
1990-05-01,600.689039910452
1990-06-01,600.689039910452
1990-07-01,600.689039910452
1990-08-01,600.689039910452
1990-09-01,600.689039910452
1990-10-01,600.689039910452
1990-11-01,600.689039910452
1990-12-01,600.689039910452
1991-01-01,600.689039910452
1991-02-01,600.689039910452
1991-03-01,600.689039910452
1991-04-01,600.689039910452
1991-05-01,600.689039910452
1991-06-01,600.689039910452
1991-07-01,600.689039910452
1991-08-01,600.689039910452
1991-09-01,600.689039910452
1991-10-01,600.689039910452
1991-11-01,600.689039910452
1991-12-01,600.689039910452
1992-01-01,600.689039910452
1992-02-01,600.689039910452
1992-03-01,600.689039910452
1992-04-01,600.689039910452
1992-05-01,600.689039910452
1992-06-01,600.689039910452
1992-07-01,600.689039910452
1992-08-01,600.671714425119
1992-09-01,600.654388939786
1992-10-01,600.654388939786
1992-11-01,600.654388939786
1992-12-01,600.654388939786
1993-01-01,600.654388939786
1993-02-01,600.654388939786
1993-03-01,600.654388939786
1993-04-01,600.654388939786
1993-05-01,600.654388939786
1993-06-01,600.47873460479
1993-07-01,600.47873460479
1993-08-01,600.47873460479
1993-09-01,600.47873460479
1993-10-01,600.47873460479
1993-11-01,600.47873460479
1993-12-01,600.47873460479
1994-01-01,600.493642978764
1994-02-01,600.508551352739
1994-03-01,600.508551352739
1994-04-01,600.508551352739
1994-05-01,600.508551352739
1994-06-01,600.458332195376
1994-07-01,600.458332195376
1994-08-01,600.458332195376
1994-09-01,600.458332195376
1994-10-01,600.458332195376
1994-11-01,600.458332195376
1994-12-01,600.458332195376
1995-01-01,600.458332195376
1995-02-01,600.458332195376
1995-03-01,600.432843752582
1995-04-01,600.432843752582
1995-05-01,600.432843752582
1995-06-01,600.432843752582
1995-07-01,600.432843752582
