Date,y
1986-05-22,0.5
1987-01-19,0.5
1987-10-15,3.0
1988-04-13,7.0
1988-12-13,22.0
1989-07-21,22.0
1990-02-01,38.0
1990-08-03,40.0
1991-01-18,73.0
1991-08-14,94.0
1992-02-18,100.0
1992-07-22,130.0
1993-03-04,220.0
1993-08-24,358.0
1995-10-31,370.0
1996-04-01,580.0
1997-05-13,460.0
1997-10-21,760.0
1997-11-19,1000.0
1998-02-25,1030.0
1998-03-25,650.0
1998-04-22,610.0
1998-05-20,967.0
1998-06-18,1170.0
1998-07-16,1310.0
1998-08-26,2580.0
1998-09-22,995.0
1999-02-01,1880.0
1999-08-20,1490.0
1999-11-26,1380.0
2000-02-24,1560.0
2000-05-25,1550.0
2000-08-24,1740.0
2000-09-11,1630.0
2000-09-18,1790.0
2000-09-25,1590.0
2000-10-02,1760.0
2000-10-09,1700.0
2000-10-16,1710.0
2000-10-23,1580.0
2000-10-30,1770.0
2000-11-06,1686.0
2000-11-13,1920.0
2000-11-20,2013.0
2000-11-28,1512.0
2001-02-06,1855.0
2001-03-13,1835.0
2001-04-04,1235.0
2001-05-17,1143.0
2001-05-25,1080.0
2001-06-01,1127.0
2001-06-08,1356.0
2001-06-15,1396.0
2001-06-22,1320.0
2001-06-29,1374.0
2001-07-06,1276.0
2001-07-13,1518.0
2001-07-20,1561.0
2001-07-27,1571.0
2001-08-03,1532.0
2001-08-10,1700.0
2001-08-17,1330.0
2001-08-24,1400.0
2001-08-31,1560.0
2001-09-07,1180.0
2001-09-14,1236.0
2001-09-21,1256.0
2001-09-27,1140.0
2001-10-05,1252.0
2001-10-12,1355.0
2001-10-19,1299.0
2001-10-26,1216.0
2001-11-02,1057.0
2001-11-09,1060.0
2002-02-05,1119.0
2002-04-26,710.0
2002-05-03,806.0
2002-05-10,909.0
2002-05-17,880.0
2002-05-24,797.0
2002-05-31,741.0
2002-06-07,968.0
2002-06-14,902.0
2002-06-21,831.0
2002-06-28,866.0
2002-07-05,799.0
2002-07-12,763.0
2002-07-19,1043.0
2002-07-26,842.0
2002-08-02,733.0
2002-08-09,743.0
2002-08-16,715.0
2002-08-23,647.0
2002-08-30,606.0
2002-09-06,738.0
2002-09-13,698.0
2002-09-20,843.0
2002-09-27,811.0
2002-10-14,948.0
2003-01-16,932.0
2003-04-14,633.0
2003-05-09,679.0
2003-05-16,700.0
2003-05-23,703.0
2003-05-30,661.0
2003-06-06,672.0
2003-06-13,559.0
2003-06-20,593.0
2003-07-07,535.0
2003-08-29,462.0
2003-09-02,436.0
2003-10-06,512.0
2003-10-24,516.0
2003-11-24,387.0
2003-12-03,386.0
2004-01-12,372.0
2004-02-18,338.0
2004-03-05,362.0
2004-04-01,428.0
2004-05-03,490.0
2004-06-09,410.0
2004-07-05,440.0
2004-08-02,490.0
2004-09-06,460.0
2004-10-06,473.0
2005-05-04,516.0
2005-05-25,388.0
2005-06-09,579.0
2005-07-05,504.0
2005-08-01,469.0
2005-09-05,508.0
2005-10-03,486.0
2005-11-03,512.0
2006-04-04,556.0
2006-05-19,392.0
2006-08-31,280.0
2006-09-11,321.0
2006-10-02,425.0
2007-05-29,250.0
2007-07-02,277.0
2007-08-06,300.0
2007-09-10,256.0
2007-10-01,231.0
2007-10-30,242.0
2007-11-06,246.0
2008-04-24,274.0
2008-10-24,293.0
2009-04-29,290.0
2009-10-26,241.0
2010-05-27,180.0
2010-10-19,194.0
2011-05-19,123.0
2011-09-18,99.0
2011-10-18,102.0
2012-01-11,118.0
2012-05-11,112.0
2012-08-01,102.0
2012-10-25,160.0
2013-01-16,106.0
2013-05-07,160.0
2013-08-30,100.0
2013-10-15,94.0
2014-02-14,98.0
2014-04-30,93.0
2014-09-04,73.0
2014-11-03,84.0
2015-03-09,94.0
2015-05-13,140.0
2015-07-28,160.0
2015-11-17,280.0
2016-02-24,220.0
2016-04-18,280.0
2016-09-12,360.0
2016-11-22,360.0
2017-02-15,330.0
2017-05-04,360.0
2017-08-22,530.0
2017-11-03,360.0
2018-01-25,370.0
2018-05-03,370.0
2018-08-07,380.0
2018-10-16,380.0
2019-02-21,360.0
2019-04-22,340.0
2019-07-31,310.0
2019-10-28,340.0
2020-03-02,300.0
2020-05-20,300.0
2020-09-02,230.0
2020-10-07,250.0
1987-07-22,31000.0
1987-10-15,34000.0
1988-04-14,36000.0
1988-12-15,23000.0
1989-07-24,50000.0
1990-02-05,45000.0
1990-08-03,40000.0
1991-01-18,45000.0
1991-08-15,45000.0
1992-02-18,45000.0
1992-07-22,40300.0
1993-03-05,31100.0
1993-08-24,37900.0
1995-10-31,38000.0
1996-04-02,31000.0
1997-05-15,39360.0
1997-10-20,24700.0
1997-11-18,34900.0
1997-12-15,35100.0
1998-02-23,35300.0
1998-03-23,33500.0
1998-04-22,25200.0
1998-05-19,32800.0
1998-06-19,44100.0
1998-07-16,31200.0
1998-08-25,29800.0
1998-09-22,26900.0
1999-02-01,18800.0
1999-08-20,12600.0
1999-11-26,12200.0
2000-02-25,9800.0
2000-05-25,9690.0
2000-08-22,13300.0
2001-03-01,18760.0
2001-03-13,14200.0
2001-05-07,28478.0
2001-05-17,32897.0
2001-08-03,21654.0
2001-11-06,18600.0
2002-02-20,998.0
2002-04-11,392.0
2002-07-16,195.0
2002-10-14,267.0
2003-01-16,197.0
2003-04-14,186.0
2003-08-07,224.0
2003-10-23,245.0
2004-01-29,263.0
2004-04-19,285.0
2004-10-18,278.0
2005-05-04,260.0
2005-11-14,489.0
2006-05-17,286.0
2006-10-09,455.0
2007-04-09,386.0
2007-10-10,360.0
2008-04-16,302.0
2008-10-10,272.0
2009-04-24,282.0
2009-10-26,210.0
2010-05-21,193.0
2010-10-19,226.0
2011-05-17,154.0
2011-09-18,141.0
2011-10-21,167.0
2012-01-10,157.0
2012-04-20,162.0
2012-08-01,161.0
2012-10-25,210.0
2013-01-16,166.0
2013-05-07,220.0
2013-08-30,210.0
2013-10-11,160.0
2014-02-14,170.0
2014-04-28,150.0
2014-09-04,170.0
2014-11-03,180.0
2015-03-09,200.0
2015-05-13,230.0
2015-07-28,92.0
2015-11-17,170.0
2016-02-29,130.0
2016-04-18,120.0
2016-09-12,150.0
2016-11-22,120.0
2017-02-15,90.0
2017-05-04,82.0
2017-08-21,120.0
2017-11-03,120.0
2018-02-21,88.0
2018-05-03,98.0
2018-08-03,120.0
2018-10-16,100.0
2019-03-11,57.0
2019-04-22,54.0
2019-07-16,64.0
2019-10-30,52.0
2020-03-03,40.0
2020-05-19,38.0
2020-09-08,42.0
2020-10-07,35.0
2001-05-30,841.0
2001-06-04,1049.0
2001-06-13,1328.0
2001-07-16,1443.0
2001-07-20,1353.0
2001-07-27,1811.0
2001-08-03,2039.0
2001-08-10,2003.0
2001-08-17,1680.0
2001-08-24,3250.0
2001-08-31,1820.0
2001-09-07,1934.0
2001-09-14,1905.0
2001-10-08,1406.0
2001-10-12,1528.0
2001-10-19,1456.0
2002-02-04,1344.0
2002-03-11,1476.0
