Date,y
2004-04-22,1601.0
2004-10-19,1436.0
2005-05-12,1693.0
2005-11-15,1363.0
2006-04-07,1406.0
2006-11-01,993.0
2007-04-09,1022.0
2007-10-24,1258.0
2008-04-22,673.0
2008-10-10,307.0
2009-04-28,335.0
2009-10-26,850.0
2010-04-20,1433.0
2010-10-19,1953.0
2011-04-22,826.0
2011-10-24,249.0
2012-05-10,2.0
2012-10-24,985.0
2013-05-09,630.0
2013-10-16,190.0
2014-04-28,190.0
2014-10-30,190.0
2015-05-26,230.0
2015-10-27,37.0
2016-05-26,190.0
2016-11-28,580.0
2017-05-03,44.0
2017-11-09,1100.0
2017-11-24,990.0
2018-05-04,1000.0
2018-11-27,970.0
2019-01-03,1100.0
2019-02-08,1300.0
2019-05-21,870.0
2019-12-19,410.0
2020-05-26,940.0
2020-11-12,890.0
1999-04-30,79.0
1999-05-11,81.0
1999-05-16,110.0
1999-06-09,88.0
1999-07-09,93.0
1999-08-20,65.0
1999-09-23,90.0
1999-10-01,103.0
1999-11-01,104.0
1999-12-16,136.0
2000-01-20,140.0
2000-02-25,120.0
2000-03-27,84.0
2000-04-18,68.0
2000-05-18,64.0
2000-06-14,63.0
2000-07-14,56.0
2000-08-28,93.0
2000-09-25,68.0
2000-10-24,70.0
2000-11-09,60.0
2000-12-19,77.0
2001-02-01,79.0
2001-04-25,78.0
2001-07-23,72.0
2001-10-30,73.0
2002-01-14,43.0
2002-04-09,36.0
2002-07-16,28.0
2002-10-09,21.0
2003-01-14,22.0
2003-04-14,94.0
2003-08-11,618.0
2003-08-28,581.0
2003-09-10,516.0
2003-10-03,449.0
2003-11-22,360.0
2004-01-29,201.0
2004-04-22,85.0
2004-07-28,85.0
2004-11-05,163.0
2005-02-02,161.0
2005-04-15,143.0
2005-08-10,167.0
2005-11-09,160.0
2006-02-02,144.0
2006-05-10,91.0
2006-07-10,63.0
2006-11-01,29.0
2007-01-04,16.0
2007-04-09,22.0
2007-08-14,17.0
2007-10-24,12.0
2008-04-22,15.0
2008-10-10,15.0
2009-04-28,14.0
2009-10-26,7.0
2010-04-20,8.0
2010-10-19,13.0
2011-04-22,7.0
2011-10-24,7.0
2012-05-10,5.0
2012-10-24,4.0
2013-05-09,7.0
2013-10-16,14.0
2014-04-28,12.0
2014-10-30,14.0
2015-05-26,10.0
2015-10-27,15.0
2016-05-26,14.0
2016-11-28,18.0
2017-05-03,10.0
2017-11-09,12.0
2018-05-04,5.3
2018-11-27,4.4
2019-05-21,3.8
2019-12-19,3.0
2020-05-26,1.3
2020-11-12,1.1
2000-06-14,5.0
2000-07-14,6.0
2000-08-24,2.0
2000-09-19,1.0
2000-10-23,2.0
2000-11-09,1.0
2000-12-14,35.0
2001-01-31,3.0
2001-04-25,1.0
2001-07-20,0.5
2001-10-22,0.5
2002-01-14,0.5
2002-04-09,0.5
2002-07-09,0.5
2002-10-09,0.5
2003-01-14,0.5
2003-04-14,0.5
2003-07-14,0.5
2003-10-08,0.5
2004-01-29,0.5
2004-04-21,0.5
2004-10-14,0.5
2005-04-04,0.5
2005-11-08,0.5
2006-04-17,0.5
2006-10-19,0.5
2007-05-29,0.5
2007-10-10,0.5
2008-08-12,0.5
2009-08-12,0.5
2010-08-10,0.5
2011-07-13,0.5
2011-09-19,0.5
2012-07-31,0.5
2013-08-22,0.5
2014-09-05,0.5
2015-07-28,0.5
2015-10-30,0.5
2015-11-09,0.5
2015-11-30,0.5
2015-12-16,0.5
