Date,y
2004-08-05,2.0
2004-10-27,3.0
2005-05-06,7.0
2005-11-10,6.0
2006-05-11,12.0
2006-10-26,26.0
2007-05-30,36.0
2007-11-12,57.0
2008-08-01,75.0
2009-07-16,99.0
2010-08-03,105.0
2011-09-28,51.0
2012-08-10,74.0
2013-08-26,96.0
2014-08-25,71.0
2015-08-04,78.0
2016-09-09,83.0
2017-08-29,66.0
2018-08-27,74.0
2019-08-08,87.0
2020-08-06,110.0
1997-02-14,36.0
1997-03-01,53.0
1997-04-01,61.0
1997-06-11,73.0
1997-07-08,0.5
1997-07-25,81.0
1997-08-12,56.0
1997-09-09,110.0
1997-10-07,83.0
1997-11-11,130.0
1997-12-09,140.0
1998-01-14,135.0
1998-02-10,126.0
1998-03-10,140.0
1998-04-07,130.0
1998-05-06,140.0
1998-06-04,160.0
1998-07-06,188.0
1998-08-11,186.0
1998-09-02,204.0
1998-10-05,210.0
1998-11-05,240.0
1998-12-05,180.0
1999-01-05,270.0
1999-02-05,210.0
1999-03-05,360.0
1999-04-07,430.0
1999-05-17,260.0
1999-06-09,330.0
1999-07-08,382.0
1999-08-02,402.0
1999-09-15,419.0
1999-10-01,472.0
1999-11-01,588.0
1999-12-22,570.0
2000-01-11,640.0
2000-02-03,510.0
2000-03-14,460.0
2000-04-04,560.0
2000-05-05,520.0
2000-06-06,420.0
2000-07-10,450.0
2000-08-10,650.0
2000-09-12,600.0
2000-10-12,550.0
2000-11-21,477.0
2000-12-20,408.0
2001-02-26,390.0
2001-05-16,486.0
2001-07-20,505.0
2001-10-23,609.0
2002-01-28,423.0
2002-04-03,338.0
2002-08-06,351.0
2002-10-30,505.0
2003-01-29,424.0
2003-04-15,427.0
2003-07-23,443.0
2003-11-11,374.0
2004-01-19,430.0
2004-05-07,420.0
2004-10-28,391.0
2005-04-21,593.0
2005-10-10,498.0
2006-04-11,550.0
2006-10-17,549.0
2007-06-01,560.0
2007-10-15,562.0
2008-04-22,590.0
2008-10-08,594.0
2009-04-27,681.0
2009-10-06,865.0
2010-12-08,1168.0
2011-05-12,1134.0
2011-11-08,900.0
2012-05-14,937.0
2012-11-02,870.0
2013-06-04,950.0
2013-11-25,840.0
2014-05-07,810.0
2014-11-05,860.0
2015-06-09,740.0
2015-11-19,760.0
2016-06-30,520.0
2016-12-08,720.0
2017-06-22,800.0
2017-11-17,620.0
2018-06-05,610.0
2018-12-18,650.0
2019-05-03,590.0
2019-10-16,590.0
2020-04-22,560.0
2020-10-28,500.0
2006-11-09,52.0
2006-12-04,49.0
2007-01-02,50.0
2007-02-12,54.0
2007-03-20,56.0
2007-04-10,54.0
2007-05-14,54.0
2007-06-07,60.0
2007-07-03,60.0
2007-08-08,58.0
2007-09-05,50.0
2007-10-02,43.0
2008-01-28,27.0
2008-04-03,24.0
2008-07-16,27.0
2008-10-31,18.0
2009-02-23,19.0
2009-04-10,25.0
2009-07-16,36.0
2009-10-15,39.0
2010-01-26,41.0
2010-05-10,42.0
2010-07-29,62.0
2010-10-22,59.0
2011-01-18,73.0
2011-04-13,51.0
2011-08-04,76.0
2011-10-31,62.0
2012-01-24,53.0
2012-05-14,56.0
2012-08-08,122.0
2012-10-15,81.0
2013-02-25,312.0
2013-03-26,379.0
2013-05-24,510.0
2013-08-26,490.0
2013-11-15,450.0
2014-03-10,650.0
2014-05-09,660.0
2014-07-10,720.0
2014-11-10,810.0
2015-03-10,760.0
2015-06-04,700.0
2015-07-27,670.0
2015-11-19,790.0
2016-02-22,700.0
2016-06-24,720.0
2016-09-12,680.0
2016-12-23,810.0
2017-02-16,730.0
2017-06-22,880.0
2017-09-05,710.0
2017-11-17,690.0
2018-01-29,740.0
2018-06-28,680.0
2018-08-21,750.0
2018-11-29,740.0
2019-01-24,700.0
2019-04-05,680.0
2019-08-13,790.0
2019-10-09,710.0
2020-01-21,650.0
2020-04-16,640.0
2020-07-15,740.0
2020-10-21,670.0
