Date,y
2000-09-06,3.0
2000-09-11,3.0
2000-10-17,5.0
2000-11-17,4.0
2000-12-26,2.0
2001-01-26,4.0
2001-05-10,1.0
2001-06-14,42.0
2001-07-24,36.0
2001-10-31,27.0
2002-01-16,3.0
2002-04-17,0.5
2002-07-26,0.5
2002-10-18,0.5
2003-02-04,0.5
2003-05-07,0.5
2003-08-14,0.5
2003-10-13,0.5
2004-01-20,0.5
2004-04-14,0.5
2004-10-11,0.5
2005-04-01,0.5
2005-11-04,0.5
2006-04-17,0.5
2006-10-09,0.5
2007-05-22,0.5
2007-10-09,0.5
2008-07-14,0.5
2009-07-08,0.5
2010-08-04,0.5
2011-11-10,0.5
2012-01-04,0.5
2012-04-09,0.5
2012-08-16,0.5
2012-11-21,0.5
2013-01-18,0.5
2013-07-16,0.5
2015-08-13,0.5
2015-09-28,0.5
2016-05-24,0.5
2016-09-22,0.5
2016-11-17,0.5
2017-02-15,0.5
2017-06-08,0.5
2017-09-08,0.5
2017-11-09,0.5
2018-03-13,0.5
2018-05-23,0.5
2018-09-13,0.5
2018-12-27,0.5
2019-03-07,0.5
2019-06-12,0.5
2019-09-03,0.5
2019-12-20,0.5
2020-03-05,0.5
2020-05-19,0.5
2020-09-23,0.5
2020-12-14,0.5
2000-09-07,500.0
2000-09-11,470.0
2000-10-17,470.0
2000-11-17,524.0
2000-12-26,493.0
2001-01-26,545.0
2001-05-10,535.0
2001-06-14,978.0
2001-07-24,702.0
2001-10-31,888.0
2002-01-16,457.0
2002-04-17,795.0
2002-07-26,572.0
2002-10-18,456.0
2003-02-04,640.0
2003-05-07,587.0
2003-08-14,524.0
2003-10-13,645.0
2004-01-26,600.0
2004-04-14,530.0
2004-07-08,490.0
2004-10-11,378.0
2005-01-17,302.0
2005-04-01,349.0
2005-07-18,300.0
2005-11-04,263.0
2006-02-14,154.0
2006-04-17,255.0
2006-07-07,222.0
2006-10-09,232.0
2007-01-03,195.0
2007-05-22,175.0
2007-08-13,176.0
2007-10-09,165.0
2008-01-18,126.0
2008-04-07,123.0
2008-07-14,144.0
2008-10-07,115.0
2009-01-09,109.0
2009-04-02,118.0
2009-07-08,110.0
2009-10-08,101.0
2010-02-03,70.0
2010-04-20,95.0
2010-08-04,89.0
2010-10-08,89.0
2011-01-05,58.0
2011-05-11,62.0
2011-11-10,70.0
2012-01-04,72.0
2012-04-09,91.0
2012-08-16,51.0
2012-11-21,92.0
2013-01-18,76.0
2013-04-01,71.0
2013-07-16,60.0
2015-08-13,100.0
2015-09-28,84.0
2016-05-24,93.0
2016-09-23,83.0
2016-11-17,90.0
2017-02-15,100.0
2017-06-08,77.0
2017-09-08,83.0
2017-11-09,66.0
2018-03-13,83.0
2018-05-23,70.0
2018-09-13,89.0
2018-12-27,45.0
2019-03-08,68.0
2019-06-12,63.0
2019-09-01,69.0
2019-12-20,60.0
2020-03-05,68.0
2020-05-19,67.0
2020-09-23,52.0
2020-11-20,53.0
2000-12-26,0.5
2001-01-26,0.5
2001-05-10,0.5
2001-07-24,0.5
2001-10-31,2.0
2002-01-15,0.5
2002-04-17,0.5
2002-07-26,0.5
2002-10-18,0.5
2003-02-04,0.5
2003-05-07,0.5
2003-08-14,0.5
2003-10-09,0.5
2004-01-26,0.5
2004-04-14,0.5
2004-10-11,0.5
2005-04-01,0.5
2005-11-04,0.5
2006-04-17,0.5
2006-10-06,0.5
2007-05-21,0.5
2007-10-22,0.5
2008-07-17,0.5
2009-12-07,0.5
2010-08-05,0.5
2011-11-10,0.5
2012-04-09,0.5
2012-11-21,0.5
2013-04-01,0.5
2015-08-13,0.5
2015-09-24,0.5
2016-05-23,0.5
2016-11-16,0.5
2017-06-07,0.5
2017-11-08,0.5
2018-05-23,0.5
2018-12-26,0.5
2019-06-11,0.5
2019-12-19,0.5
2020-05-21,0.5
2020-11-20,0.5
2000-12-26,0.5
2001-01-26,2.0
2001-05-10,0.5
2001-07-24,0.5
2001-10-31,0.5
2002-01-15,0.5
2002-04-17,0.5
2002-07-26,0.5
2002-10-18,0.5
2003-02-04,0.5
2003-05-07,0.5
2003-08-14,0.5
2003-10-09,0.5
2004-01-26,0.5
2004-04-14,0.5
2004-10-11,0.5
2005-04-01,0.5
2005-11-04,0.5
2006-04-17,0.5
