Date,y
2010-06-09,507.0
2010-07-12,367.0
2010-08-02,350.0
2010-09-07,278.0
2010-10-04,356.0
2010-11-01,203.0
2010-12-06,278.0
2011-01-03,518.0
2011-02-07,286.0
2011-03-07,230.0
2011-04-04,188.0
2011-06-06,190.0
2011-07-11,190.0
2011-08-01,144.0
2011-09-12,140.0
2011-10-03,144.0
2011-11-08,143.0
2011-12-05,134.0
2012-01-09,139.0
2012-02-06,132.0
2012-03-05,141.0
2012-04-02,154.0
2012-05-07,163.0
2012-06-04,150.0
2012-07-02,156.0
2012-08-08,161.0
2012-09-10,180.0
2012-10-01,157.0
2012-11-05,170.0
2012-12-03,162.0
2013-01-08,147.0
2013-02-04,145.0
2013-03-05,157.0
2013-04-01,162.0
2013-05-06,140.0
2013-06-10,150.0
2013-07-01,160.0
2013-08-05,130.0
2013-09-03,130.0
2013-10-07,130.0
2013-11-04,130.0
2013-12-02,120.0
2014-01-07,140.0
2014-02-10,110.0
2014-03-03,120.0
2014-04-02,120.0
2014-05-05,130.0
2014-06-02,110.0
2014-07-01,120.0
2014-08-04,110.0
2014-09-02,120.0
2014-10-06,120.0
2014-11-03,130.0
2014-12-01,120.0
2015-01-02,100.0
2015-02-04,120.0
2015-03-02,110.0
2015-04-01,120.0
2015-05-01,120.0
2015-06-16,130.0
2015-07-01,120.0
2015-08-03,140.0
2015-09-08,130.0
2015-10-01,160.0
2015-11-02,150.0
2015-12-01,140.0
2016-01-04,140.0
2016-02-01,130.0
2016-03-01,120.0
2016-04-04,140.0
2016-05-02,160.0
2016-06-01,160.0
2016-07-06,140.0
2016-08-01,160.0
2016-09-06,160.0
2016-10-03,150.0
2016-11-01,160.0
2016-12-05,170.0
2017-01-03,180.0
2017-02-06,160.0
2017-03-06,160.0
2017-04-10,170.0
2017-05-01,180.0
2017-06-05,190.0
2017-07-11,190.0
2017-08-07,180.0
2017-09-11,190.0
2017-10-02,190.0
2017-11-06,190.0
2017-12-11,200.0
2018-01-08,200.0
2018-02-06,190.0
2018-03-06,400.0
2018-04-02,210.0
2018-05-07,220.0
2018-06-05,210.0
2018-07-10,200.0
2018-08-10,230.0
2018-09-12,230.0
2018-10-03,220.0
2018-11-09,210.0
2018-12-10,230.0
2019-01-07,240.0
2019-02-04,220.0
2019-03-07,220.0
2019-04-03,230.0
2019-05-08,230.0
2019-06-12,210.0
2019-07-02,210.0
2019-07-02,230.0
2019-08-08,240.0
2019-09-09,190.0
2019-10-02,210.0
2019-11-07,230.0
2019-12-04,260.0
